"ciso_primary_key","mailpieceid","parcelidcode","detailsequence","createdtimestamp","mailerid","sourceid","ServiceTypeCode","applicationid","constructcode","mailclasscode","USPSDimensionalHeight","USPSDimensionalLength","USPSDimensionalWidth","customerrecordstartdate","delinked","MID_LAST_UPD_USERID","MID_LAST_UPD_DATE","CRID","CRID_cmra_flag","CRID_msp_flag","UBK","icr","ict_filedate","manifest","manifest_createdtimestamp","manifestid","icr_or_manifest","spef","prtnrscan_createdtimestamp","prtnrscan_eventcode","symbology_mismatch","scanned","firstscan_createdtimestamp","firstscan_eventcode","firstscan_zipcode","firstscan_Longitude","firstscan_Latitude","firstscan_CITY","firstscan_STATECODE","firstscan_STATENAME","firstscan_COUNTYNM","startacceptancezipcode","startacceptance_Longitude","startacceptance_Latitude","startacceptance_CITY","startacceptance_STATECODE","startacceptance_COUNTYNM","deliveryzipcode","ptsaddressid","destaddress_zipcode","destaddress_CITY","destaddress_STATENAME","destaddress_STATECODE","destaddress_Longitude","destaddress_Latitude","ptsphysicaladdressid","physaddress_zipcode","physaddress_CITY","physaddress_STATENAME","ptsreturnaddressid","returnaddress_zipcode","returnaddress_CITY","returnaddress_STATENAME","returnaddress_STATECODE","firstscan_dest_zone","start_dest_zone","firstscan_zone_gt_start_zone","firstzip_startzip_diff"
4200478129570,"f50fa57acb603ce907e316fcbfa246541515260278411697653fa0bc7c6bbda6","03a1a629aad06f5de1478dc024fe7620ab35f8acbcba5e143d1d61476cca03e3","228465037325",2024-05-01 00:54:27,"d7c97331fe101a06073d82be8ae548fe8492416f2b9382ac4653afba73623f08",NA,"001",92,"C02","G0",1.5,7.6,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 00:54:27,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","34668",NA,NA,NA,NA,NA,NA,NA,"38f0958a4a0dce089469d86664143bbc71a9ec4380ad3952685898154620639c","34668","Port Richey","Florida",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129571,"252ac1acae16879f5f9744a6416fd60008fc2fa0b978dc8d3ca5438fdc7e6238","b23c630bc4271412abfec942c9b20937106eafd2f6b574317772d2c2e2fad89a","126284673337",2024-05-01 07:46:27,"bd862014ea2ac1efe6d5782e9b57a20cacf38e3de2dedbc59be4bf06b3503cb5",NA,"001",92,"C02","G0",1.7,5.6,5,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 07:46:27,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","78152",NA,NA,NA,NA,NA,NA,NA,"74f7613f54699ca6b75574470d2bdb1bbc8da97797e2c14ea5f27ae77bd75c11","78152","Saint Hedwig","Texas",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129572,"e33c4ae256b4737b17b534f0176ea653208a7302da0fe614f2473e6384fdeee9","b694de4b7ca26eaa2c5ab4a9ae018a2359d72ee3adf396df060c42e2bd88d0e1","326626002027",2024-05-01 07:46:29,"bd862014ea2ac1efe6d5782e9b57a20cacf38e3de2dedbc59be4bf06b3503cb5",NA,"001",92,"C02","G0",1.8,7.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 07:46:29,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","76023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129573,"722e779bb6eeb8baf76dc661acdaa9e4548a4e0464b584a8c49cd515fcd7599c","c7cabc4a10afbf004605eca9140fa17c436449693c7de9abe72832fc539094f5","426993064441",2024-05-01 07:56:31,"bd862014ea2ac1efe6d5782e9b57a20cacf38e3de2dedbc59be4bf06b3503cb5",NA,"001",92,"C02","G0",1.5,7.1,6.6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 07:56:31,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","79938",NA,NA,NA,NA,NA,NA,NA,"447f7ab3496c4cd671a0c80351b06a3c7079b3b2f216acd96ab62c909fc1a08a","79938","El Paso","Texas",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129574,"1547ef7d878bf1b9e202d7f4e90229954eba869aa7f7dc74691e5e6bacabe802","1408e039cdc53e792fe8c98d54406c7dacdcb8c2b2bbe139a5746e85e1c4b522","329668344749",2024-05-01 00:57:26,"4e1cc7dc1bb4ad7883b6330b82a72ec5d1202007ed851e18b2e61e3e114392eb",NA,"001",92,"C02","G0",1,12.5,11.3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 00:57:26,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","08873",NA,NA,NA,NA,NA,NA,NA,"82a4419a0043560d8e0cf71a3a589dd4a541e88aee91f35bcf32f2a9998b45d4","08873","Somerset","New Jersey",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129575,"2981aba22b41f12c3d7ac7bac6346bdc20abef32b837baec93518527fec6ba6b","23fd5bc7506064bae379be89d222a604ef9a72a30cfddd8b74cd53ffffc7f37f","528739194997",2024-05-01 01:02:27,"4e1cc7dc1bb4ad7883b6330b82a72ec5d1202007ed851e18b2e61e3e114392eb",NA,"001",92,"C02","G0",0.9,8.9,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 01:02:27,"10","91715",-117.969965,34.015728,"City of Industry","CA","California","Los Angeles","91715",-117.969965,34.015728,"City of Industry","CA","Los Angeles","71037",NA,NA,NA,NA,NA,NA,NA,"b05844158f280487222628aabfc084d0561267428eab6de8216741ecf462ec26","71037","Haughton","Louisiana",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129577,"2880cbf49fa6e8ef49438783964ae74b39277a009d75f09f95b2f8717fb4f492","33b691d1f7e5e22e73e396f9d8be8de973a38521d5b2825ab3b14af6be4b2e2f","229050375146",2024-05-01 09:44:05,"92455939386a6a0db45a2b98d602232c411c14c7f2c99fadcddf1c93885daf90",NA,"001",92,"C02","G0",1.57,6.69,6.89,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 09:44:05,"10","91383",-118.455629,34.358853,"Santa Clarita","CA","California","Los Angeles","91383",-118.455629,34.358853,"Santa Clarita","CA","Los Angeles","33460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129578,"c079375f32306383ed1f4edf83e964b51bbe6909e899f6192842090e96127ebf","ba0b83e66a72599f136e6eaedcd87dcad4cd964a33e1cdb53681bddf09a281c4","429353838007",2024-05-01 00:58:10,"92455939386a6a0db45a2b98d602232c411c14c7f2c99fadcddf1c93885daf90",NA,"001",92,"C02","G0",1.97,7.95,6.1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 00:58:10,"10","91383",-118.455629,34.358853,"Santa Clarita","CA","California","Los Angeles","91383",-118.455629,34.358853,"Santa Clarita","CA","Los Angeles","92555",NA,NA,NA,NA,NA,NA,NA,"b760eec4679dc419809ad67f6abbff6b2b422d812195e42063bf004a5c40bb89","92555","Moreno Valley","California",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129579,"34bca15cf6dab722e0fce3ab8ed1a4e230747880b21867f334e64da3f048cc83","6c61f0dd6de7c0ff0e1e75b59be627a537217183f7f20dcb308713d528997260","929913212341",2024-05-01 00:58:09,"92455939386a6a0db45a2b98d602232c411c14c7f2c99fadcddf1c93885daf90",NA,"001",92,"C02","G0",2.36,7.01,5.98,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 00:58:09,"10","91383",-118.455629,34.358853,"Santa Clarita","CA","California","Los Angeles","91383",-118.455629,34.358853,"Santa Clarita","CA","Los Angeles","11746",NA,NA,NA,NA,NA,NA,NA,"4db735a6bc94a0047856ee1eeb0a189389a373f7003c5c3e3e5369d7b3d0bd37","11746","Huntington Station","New York",NA,NA,NA,NA,NA,NA,NA,0,FALSE
4200478129580,"000db07694e986d7539ddbab8954ccf59b8a49641eabd21a5e9d978216a63610","8dc3bbf4a01b0f464c704cd9a6c036b5679f10d26600f78c89374e31100a6788","58626381",2024-05-01 20:58:29,"887a2d4f950cb5887b06d21dbf450b4fd7614621ef9dd82f99404c2468cca22b",NA,"001",92,"C03","G0",4.4,12.7,5.7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,NA,1,2024-05-01 20:58:29,"10","11714",-73.488866,40.73854,"Bethpage","NY","New York","Nassau","11714",-73.488866,40.73854,"Bethpage","NY","Nassau","90503",NA,NA,NA,NA,NA,NA,NA,"1c2fb4b1312ec724d770a8bb78ed11b4194c538670efb004d328b79dfdf88f21","90503","Torrance","California",NA,NA,NA,NA,NA,NA,NA,0,FALSE
