Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,N_Nodes_bins,N_Edges_bins,count,weight_count,type,pct
0,0.4,0.2,0.4791812460476248,5,4,Low,Low,1,1.0,owns,100.0
0,0.4,0.2,0.4791812460476248,5,4,Low,Low,1,0.0,originated_at,0.0
0,0.4,0.2,0.4791812460476248,5,4,Low,Low,1,1.0,part_of_mismatch,100.0
0,0.4,0.2,0.4791812460476248,5,4,Low,Low,1,1.0,part_of_manifest,100.0
1,0.010054040467512881,0.008434307436445711,0.013701652637420016,219,240,Low,Low,76,2.0,part_of_mismatch,2.631578947368421
1,0.010054040467512881,0.008434307436445711,0.013701652637420016,219,240,Low,Low,76,33.0,part_of_manifest,43.42105263157895
1,0.010054040467512881,0.008434307436445711,0.013701652637420016,219,240,Low,Low,67,19.0,originated_at,28.35820895522388
1,0.010054040467512881,0.008434307436445711,0.013701652637420016,219,240,Low,Low,1,0.0,owns,0.0
2,0.0010117083596595917,0.0011659072432553097,0.0015177604941831718,2265,2594,High,Medium,792,0.0,part_of_mismatch,0.0
2,0.0010117083596595917,0.0011659072432553097,0.0015177604941831718,2265,2594,High,Medium,792,12.0,part_of_manifest,1.5151515151515151
2,0.0010117083596595917,0.0011659072432553097,0.0015177604941831718,2265,2594,High,Medium,751,724.0,originated_at,96.40479360852197
2,0.0010117083596595917,0.0011659072432553097,0.0015177604941831718,2265,2594,High,Medium,3,0.0,owns,0.0
3,0.0010826293007009816,0.000999743940861472,0.0015165956860285215,2548,3513,High,High,927,0.0,part_of_mismatch,0.0
3,0.0010826293007009816,0.000999743940861472,0.0015165956860285215,2548,3513,High,High,927,2.0,part_of_manifest,0.2157497303128371
3,0.0010826293007009816,0.000999743940861472,0.0015165956860285215,2548,3513,High,High,868,859.0,originated_at,98.963133640553
3,0.0010826293007009816,0.000999743940861472,0.0015165956860285215,2548,3513,High,High,1,0.0,owns,0.0
4,0.0028089777285388207,0.0034195658638120725,0.004291542891311039,714,715,Low,Low,255,0.0,part_of_mismatch,0.0
4,0.0028089777285388207,0.0034195658638120725,0.004291542891311039,714,715,Low,Low,255,2.0,part_of_manifest,0.7843137254901961
4,0.0028089777285388207,0.0034195658638120725,0.004291542891311039,714,715,Low,Low,228,213.0,originated_at,93.42105263157895
5,0.1323529411764706,0.13186813186813187,0.18614877356054918,17,18,Low,Low,6,3.0,originated_at,50.0
5,0.1323529411764706,0.13186813186813187,0.18614877356054918,17,18,Low,Low,6,0.0,part_of,0.0
6,0.4,0.3333333333333333,0.5249387366082999,5,4,Low,Low,2,0.0,part_of,0.0
7,0.0053465893399613365,0.004338927548096602,0.007226885340953648,426,484,Low,Low,143,0.0,part_of,0.0
7,0.0053465893399613365,0.004338927548096602,0.007226885340953648,426,484,Low,Low,122,2.0,originated_at,1.639344262295082
8,0.008191235059760956,0.00681592039800995,0.011141309324186808,251,257,Low,Low,77,0.0,part_of,0.0
8,0.008191235059760956,0.00681592039800995,0.011141309324186808,251,257,Low,Low,60,7.0,originated_at,11.666666666666666
9,0.007964494163424124,0.007388798581350673,0.011161611678411395,257,262,Low,Low,82,0.0,part_of,0.0
9,0.007964494163424124,0.007388798581350673,0.011161611678411395,257,262,Low,Low,68,20.0,originated_at,29.411764705882355
10,0.0008180749318315245,0.0008078821254962925,0.0011687920309926508,3358,4611,High,High,1197,0.0,part_of,0.0
10,0.0008180749318315245,0.0008078821254962925,0.0011687920309926508,3358,4611,High,High,1153,8.0,originated_at,0.6938421509106678
10,0.0008180749318315245,0.0008078821254962925,0.0011687920309926508,3358,4611,High,High,1,0.0,owns,0.0
