Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,mailer_nodes,owner_nodes,origin_nodes,label_nodes,mailPiece_nodes,mails_edges,owns_edges,originated_at_edges,part_of_edges,destination_nodes,goes_to_edges,originated_at_fraud_pct,owns_fraud_pct,part_of_manifest_fraud_pct,part_of_mismatch_fraud_pct,mailer_nodes_perc,owner_nodes_perc,origin_nodes_perc,label_nodes_perc,mailPiece_nodes_perc,destination_nodes_perc,mails_edges_perc,owns_edges_perc,originated_at_edges_perc,part_of_edges_perc,goes_to_edges_perc
42,0.4,0.3,0.34641016151377546,5,4,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,0.0,0.0,100.0,100.0,100.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.25,0.25,0.25,0.25,0.0
15,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
39,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
38,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
37,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
33,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,100.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
29,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
24,0.5,0.16666666666666666,0.28867513459481287,4,3,1.0,0.0,1.0,1,1,1.0,0.0,1.0,1,0.0,0.0,0.0,0.0,100.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
0,0.4,0.2,0.28284271247461906,5,4,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1,0.0,0.0,0.0,100.0,100.0,100.0,0.2,0.2,0.2,0.2,0.2,0.0,0.25,0.25,0.25,0.25,0.0
47,0.2857142857142857,0.09523809523809523,0.1649572197684645,7,6,1.0,0.0,1.0,2,2,1.0,0.0,2.0,2,1.0,1.0,50.0,0.0,50.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
40,0.2857142857142857,0.09523809523809523,0.1649572197684645,7,6,2.0,0.0,1.0,2,2,2.0,0.0,2.0,2,0.0,0.0,0.0,0.0,100.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
60,0.16666666666666666,0.045454545454545456,0.08703882797784893,12,11,0.0,0.0,1.0,4,4,0.0,0.0,3.0,4,3.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.0,0.2727272727272727,0.36363636363636365,0.36363636363636365
32,0.16666666666666666,0.045454545454545456,0.08703882797784893,12,11,2.0,1.0,3.0,3,3,3.0,2.0,3.0,3,0.0,0.0,0.0,0.0,100.0,33.33333333333333,0.16666666666666666,0.08333333333333333,0.25,0.25,0.25,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0
5,0.1323529411764706,0.022058823529411766,0.05403286197315834,17,18,0.0,0.0,2.0,6,6,0.0,0.0,6.0,6,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.35294117647058826,0.35294117647058826,0.17647058823529413,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
18,0.08333333333333333,0.013333333333333334,0.03333333333333333,25,25,0.0,0.0,2.0,9,9,0.0,0.0,8.0,9,5.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.08,0.36,0.36,0.2,0.0,0.0,0.32,0.36,0.32
63,0.11764705882352941,0.006535947712418301,0.0277296776935901,18,18,2.0,1.0,2.0,5,5,3.0,2.0,3.0,5,3.0,5.0,33.33333333333333,0.0,0.0,0.0,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.2777777777777778,0.2777777777777778
57,0.022121993127147768,0.005798969072164949,0.01132628597374159,97,103,2.0,1.0,6.0,34,34,10.0,1.0,31.0,34,20.0,27.0,80.64516129032258,0.0,5.88235294117647,0.0,0.020618556701030927,0.010309278350515464,0.061855670103092786,0.35051546391752575,0.35051546391752575,0.20618556701030927,0.0970873786407767,0.009708737864077669,0.30097087378640774,0.3300970873786408,0.2621359223300971
