ciso_primary_key,mailpieceid,parcelidcode,detailsequence,createdtimestamp,mailerid,sourceid,ServiceTypeCode,applicationid,constructcode,mailclasscode,USPSDimensionalHeight,USPSDimensionalLength,USPSDimensionalWidth,customerrecordstartdate,delinked,MID_LAST_UPD_USERID,MID_LAST_UPD_DATE,CRID,CRID_cmra_flag,CRID_msp_flag,UBK,icr,ict_filedate,manifest,manifest_createdtimestamp,manifestid,icr_or_manifest,spef,prtnrscan_createdtimestamp,prtnrscan_eventcode,symbology_mismatch,scanned,firstscan_createdtimestamp,firstscan_eventcode,firstscan_zipcode,firstscan_Longitude,firstscan_Latitude,firstscan_CITY,firstscan_STATECODE,firstscan_STATENAME,firstscan_COUNTYNM,startacceptancezipcode,startacceptance_Longitude,startacceptance_Latitude,startacceptance_CITY,startacceptance_STATECODE,startacceptance_COUNTYNM,deliveryzipcode,ptsaddressid,destaddress_zipcode,destaddress_CITY,destaddress_STATENAME,destaddress_STATECODE,destaddress_Longitude,destaddress_Latitude,ptsphysicaladdressid,physaddress_zipcode,physaddress_CITY,physaddress_STATENAME,ptsreturnaddressid,returnaddress_zipcode,returnaddress_CITY,returnaddress_STATENAME,returnaddress_STATECODE,firstscan_dest_zone,start_dest_zone,firstscan_zone_gt_start_zone,firstzip_startzip_diff,potential_fraud,intercepted_fraud,weight_default,attaches_to_weight
6064493945060,3bcfb096147125c9344d119e5081ecb2d450252c7f221ebe91b860a0cc30e968,ecaf0facc4a1be4fac5473d164abafee4f495b0ecd5562cd0a01a0fbd4478377,51264457045,2024-05-01T13:55:01.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,6.3,7.3,7.1,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:55:01.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,32179.0,,,,,,,,bef4457b21336d9b314bfa8839eb40b2a49ef8d35bffc3d70e2de975e8a80c7d,32179.0,Ocklawaha,Florida,,,,,,,,0,1,True,2,1,4
6064493945061,34690168b6865f9702e08d9105bf9edaafdb1deb2605178794bf0f7872cee304,1666377c621d15eef1c2b9f5aed59d92a62cedb1949694e811b781dbc0bca671,51275452121,2024-05-01T13:54:55.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,5.7,11.1,8.7,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:54:55.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,39475.0,,,,,,,,ff8d5aec97c00bb57977f62639b863c9f9192aa8fad1743225259c3795dd9161,39475.0,Purvis,Mississippi,,,,,,,,0,1,True,2,1,4
1554778484418,5c3e11fc304ffdac91c12f3abee091fdc783610027f09aa547cd6ee82248871c,e8f9b500e44df1f462531b6b1542e90df3a0ea334639bfae36c67a5e5a31391b,51264456598,2024-05-03T21:40:07.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,4.92,13.39,7.68,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-03T21:40:07.000Z,10,95799,-121.557001,38.540783,West Sacramento,CA,California,Yolo,95799.0,-121.557001,38.540783,West Sacramento,CA,Yolo,73716.0,,,,,,,,325076bfcb2d652c69fb90d5dc9ce2117d0b314c5651a2d39586db2a01d76ce0,73716.0,Aline,Oklahoma,,,,,,,,0,1,True,2,1,4
9251359684589,4d42c689e90410fb68d48c1881889d52e75e053be721f624780f7e74e967e8b6,0ff53186dd2881be894e45b964d62e8790e5fa43cc3d5c25e69145c743cac3b4,51264457021,2024-05-01T13:55:03.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,2.1,9.3,6.4,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:55:03.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,14779.0,,,,,,,,,,,,,,,,,,,0,1,True,2,1,4
4440996267976,e4d67b12edb9c70a1245ae84c09fdf5897ba5402101d3f7009deff562bd81d3f,16bc791057e3a5be627e8a00d353319b3b618a7e3ac9af3d03a08b18a1f2e77a,51275452244,2024-05-01T13:55:01.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,6.4,7.4,7.2,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:55:01.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,34233.0,,,,,,,,56f9c19e4bd5a2ad54ab67b2850d0c73bc1c491bf9c5ae1f30355d3af39f3659,34233.0,Sarasota,Florida,,,,,,,,0,1,True,2,1,4
7146825810877,e9cf00631d4439ff94aca3b35e25656ef6536b66c2bedcd3a3d097c0070f1df8,9f76cc8ef64eef4750c7a4b945d15b2ccd5b250a11eb77f890dfc0b8578d90e5,51275452206,2024-05-02T13:32:21.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,6.6,13.1,9.2,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-02T13:32:21.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,80504.0,,,,,,,,,,,,,,,,,,,0,1,True,2,1,4
5222680551729,b082c64c1751486a28ad9f023de7f36a74a0c33d237c05ae15f3e0ed934e4577,b980f2121451c020c183fedfd90bf494afde439e538b8683ea8abab3cac694c9,51275452220,2024-05-03T13:17:01.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,1.7,11.2,6.6,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-03T13:17:01.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,28209.0,,,,,,,,,,,,,,,,,,,0,1,True,2,1,4
5944234820577,bbc13cd47705a1024493ea1db0a47decbec547699ed1e865e22ac57ac5306e4f,7ffb6ce600de19b20225ed7f9a26b55661a5f6f487e01d14ed91b06127f4e333,51264459940,2024-05-01T13:55:01.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,2.2,9.4,6.8,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:55:01.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,27107.0,,,,,,,,,,,,,,,,,,,0,1,True,2,1,4
3058017036377,f6a2dcfc50e0a402ea7a0faee5501eef81dcb37acb7896bc1124b5507761e6d2,c3db614ed01fb5f87f2a7cf71bc670b12a8e3e28d9365a94d7409e15a73cf06a,51275452329,2024-05-03T13:15:39.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,6.3,7.2,7.1,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-03T13:15:39.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,79912.0,,,,,,,,,,,,,,,,,,,0,1,True,2,1,4
2637110043501,21613b8c1ab6097a0ffb1e4aaea170c7b72d7db702cf9ba6f2b4906933fc3acf,2f05da89b077b069ce8611fe1b9aa6a55fd9bd15d19ada23af5ff96d9738ae60,51264459964,2024-05-01T13:55:01.000Z,e23ca5b7b6633f823883043d40ee77d26c0769c856f32d9407c3b7791eeeac16,,55,92,C02,PM,2.3,10.2,6.8,,1,,,,,,,0,,0,,,2,0,,,2,1,2024-05-01T13:55:01.000Z,3,6484,-73.1373,41.31354,Shelton,CT,Connecticut,Fairfield,6484.0,-73.1373,41.31354,Shelton,CT,Fairfield,44129.0,,,,,,,,26cbbd27f91a65f041cb6cd34b3ddb5cf49075f05af99e430a6c3249cc607fad,44129.0,Cleveland,Ohio,,,,,,,,0,1,True,2,1,4
